customer_id,recency,frequency,monetary value,R_value,F_value,M_value,RFM score,customer loyalty,customer_title,Age,Age class
1,7,11,3018.09,4,4,3,443,d) excellent,b) very loyal customer,68.0,70.0
2,128,3,2226.26,1,1,2,112,a) poor,j)Evasive Customer ,41.0,50.0
3,102,8,3362.81,1,4,3,143,a) poor,i) On the brink of losing customer,68.0,70.0
4,195,2,220.57,1,1,1,111,a) poor,k) Lost customer,61.0,70.0
5,16,6,2394.94,4,3,2,432,d) excellent,c) Becoming loyal,45.0,50.0
6,64,5,3946.55,2,2,3,223,b) avarage,h) Could be lost,55.0,60.0
7,253,3,220.11,1,1,1,111,a) poor,k) Lost customer,46.0,50.0
8,22,10,7066.94,3,4,4,344,c) good,d) Recent customer,60.0,60.0
9,78,6,2353.11,2,3,2,232,b) avarage,g) losing customer,48.0,50.0
10,43,5,3358.2799999999997,3,2,3,323,c) good,e) Potential customer,33.0,40.0
11,46,6,3638.8399999999997,2,3,3,233,b) avarage,g) losing customer,68.0,70.0
12,67,7,3540.0299999999997,2,3,3,233,b) avarage,g) losing customer,28.0,30.0
13,27,7,4337.38,3,3,4,334,c) good,e) Potential customer,67.0,70.0
14,47,3,1713.9,2,1,1,211,a) poor,i) On the brink of losing customer,39.0,40.0
15,35,6,1728.3899999999999,3,3,1,331,c) good,e) Potential customer,22.0,30.0
16,99,5,4521.84,1,2,4,124,a) poor,i) On the brink of losing customer,45.0,50.0
17,0,5,2015.6100000000001,4,2,2,422,d) excellent,c) Becoming loyal,60.0,60.0
18,134,7,3543.3799999999997,1,3,3,133,a) poor,i) On the brink of losing customer,55.0,60.0
19,102,3,2951.79,1,1,3,113,a) poor,j)Evasive Customer ,21.0,30.0
20,31,4,3608.2799999999997,3,1,3,313,c) good,f) first time buyer,41.0,50.0
21,6,5,4229.41,4,2,4,424,d) excellent,c) Becoming loyal,41.0,50.0
22,97,7,4286.95,1,3,4,134,a) poor,i) On the brink of losing customer,59.0,60.0
23,10,6,4376.150000000001,4,3,4,434,d) excellent,b) very loyal customer,26.0,30.0
24,17,7,3689.35,4,3,3,433,d) excellent,b) very loyal customer,45.0,50.0
25,5,12,5333.66,4,4,4,444,d) excellent,a) most loyal customer,46.0,50.0
26,259,2,268.24,1,1,1,111,a) poor,k) Lost customer,43.0,50.0
27,143,7,3274.2500000000005,1,3,3,133,a) poor,i) On the brink of losing customer,43.0,50.0
28,83,6,3366.5599999999995,2,3,3,233,b) avarage,g) losing customer,48.0,50.0
29,22,9,6175.300000000001,3,4,4,344,c) good,d) Recent customer,54.0,60.0
30,11,3,2633.95,4,1,2,412,d) excellent,d) Recent customer,60.0,60.0
31,89,4,426.11,1,1,1,111,a) poor,k) Lost customer,59.0,60.0
32,138,7,2823.12,1,3,2,132,a) poor,i) On the brink of losing customer,27.0,30.0
33,38,6,5150.450000000001,3,3,4,334,c) good,e) Potential customer,65.0,70.0
34,102,8,4825.59,1,4,4,144,a) poor,i) On the brink of losing customer,,
35,92,4,3706.51,1,1,3,113,a) poor,j)Evasive Customer ,58.0,60.0
36,163,2,204.36,1,1,1,111,a) poor,k) Lost customer,44.0,50.0
37,7,9,6338.49,4,4,4,444,d) excellent,a) most loyal customer,36.0,40.0
38,50,4,2025.3399999999997,2,1,2,212,b) avarage,h) Could be lost,66.0,70.0
39,34,12,6085.17,3,4,4,344,c) good,d) Recent customer,43.0,50.0
40,14,6,4552.1,4,3,4,434,d) excellent,b) very loyal customer,40.0,40.0
41,29,8,4531.68,3,4,4,344,c) good,d) Recent customer,46.0,50.0
42,111,4,427.04,1,1,1,111,a) poor,k) Lost customer,45.0,50.0
43,61,9,3619.95,2,4,3,243,b) avarage,g) losing customer,39.0,40.0
44,35,7,4768.28,3,3,4,334,c) good,e) Potential customer,40.0,40.0
45,43,3,1048.15,3,1,1,311,b) avarage,f) first time buyer,46.0,50.0
46,53,5,1623.63,2,2,1,221,b) avarage,h) Could be lost,50.0,50.0
47,35,7,4332.1900000000005,3,3,4,334,c) good,e) Potential customer,29.0,30.0
48,82,8,5561.08,2,4,4,244,b) avarage,g) losing customer,46.0,50.0
49,36,5,4248.68,3,2,4,324,c) good,e) Potential customer,28.0,30.0
50,26,8,5783.660000000001,3,4,4,344,c) good,d) Recent customer,42.0,50.0
51,55,8,4855.4,2,4,4,244,b) avarage,g) losing customer,63.0,70.0
52,4,6,5417.83,4,3,4,434,d) excellent,b) very loyal customer,34.0,40.0
53,7,5,2950.07,4,2,3,423,d) excellent,c) Becoming loyal,68.0,70.0
54,67,7,4098.210000000001,2,3,3,233,b) avarage,g) losing customer,56.0,60.0
55,46,8,3220.86,2,4,3,243,b) avarage,g) losing customer,65.0,70.0
56,2,7,1275.24,4,3,1,431,d) excellent,c) Becoming loyal,26.0,30.0
57,35,6,5117.96,3,3,4,334,c) good,e) Potential customer,34.0,40.0
58,20,8,3501.37,3,4,3,343,c) good,e) Potential customer,55.0,60.0
59,22,3,2628.37,3,1,2,312,c) good,f) first time buyer,21.0,30.0
60,200,2,647.22,1,1,1,111,a) poor,k) Lost customer,52.0,60.0
61,47,6,4254.240000000001,2,3,4,234,b) avarage,g) losing customer,62.0,70.0
62,5,6,4920.879999999999,4,3,4,434,d) excellent,b) very loyal customer,43.0,50.0
63,68,3,2190.05,2,1,2,212,b) avarage,h) Could be lost,57.0,60.0
64,3,5,546.68,4,2,1,421,d) excellent,c) Becoming loyal,44.0,50.0
65,136,6,4441.61,1,3,4,134,a) poor,i) On the brink of losing customer,46.0,50.0
66,43,4,3333.8599999999997,3,1,3,313,c) good,f) first time buyer,19.0,20.0
67,116,5,1203.29,1,2,1,121,a) poor,j)Evasive Customer ,62.0,70.0
68,84,3,3842.5599999999995,2,1,3,213,b) avarage,h) Could be lost,48.0,50.0
69,20,6,5294.750000000001,3,3,4,334,c) good,e) Potential customer,53.0,60.0
70,4,5,2736.9,4,2,2,422,d) excellent,c) Becoming loyal,29.0,30.0
71,131,1,155.65,1,1,1,111,a) poor,k) Lost customer,37.0,40.0
72,22,4,2559.7799999999997,3,1,2,312,c) good,f) first time buyer,50.0,50.0
73,168,6,2316.51,1,3,2,132,a) poor,i) On the brink of losing customer,62.0,70.0
74,28,3,966.5200000000001,3,1,1,311,b) avarage,f) first time buyer,53.0,60.0
75,60,8,4979.9400000000005,2,4,4,244,b) avarage,g) losing customer,44.0,50.0
76,1,8,2868.16,4,4,3,443,d) excellent,b) very loyal customer,44.0,50.0
77,101,3,1657.58,1,1,1,111,a) poor,k) Lost customer,32.0,40.0
78,211,2,82.26,1,1,1,111,a) poor,k) Lost customer,36.0,40.0
79,43,6,2597.46,3,3,2,332,c) good,e) Potential customer,54.0,60.0
80,28,10,5988.860000000001,3,4,4,344,c) good,d) Recent customer,44.0,50.0
81,4,4,3249.02,4,1,3,413,d) excellent,d) Recent customer,36.0,40.0
82,78,5,2924.37,2,2,3,223,b) avarage,h) Could be lost,57.0,60.0
83,80,6,1798.1999999999998,2,3,1,231,b) avarage,g) losing customer,55.0,60.0
84,28,7,2295.2199999999993,3,3,2,332,c) good,e) Potential customer,64.0,70.0
85,37,6,563.37,3,3,1,331,c) good,e) Potential customer,64.0,70.0
86,0,9,2360.09,4,4,2,442,d) excellent,b) very loyal customer,33.0,40.0
87,18,9,3740.7599999999998,3,4,3,343,c) good,e) Potential customer,48.0,50.0
88,74,6,2534.3300000000004,2,3,2,232,b) avarage,g) losing customer,56.0,60.0
89,4,9,5779.65,4,4,4,444,d) excellent,a) most loyal customer,55.0,60.0
90,30,7,2990.73,3,3,3,333,c) good,e) Potential customer,37.0,40.0
91,9,8,5242.41,4,4,4,444,d) excellent,a) most loyal customer,67.0,70.0
92,34,3,2967.44,3,1,3,313,c) good,f) first time buyer,41.0,50.0
93,79,3,2976.41,2,1,3,213,b) avarage,h) Could be lost,46.0,50.0
94,33,7,4902.21,3,3,4,334,c) good,e) Potential customer,48.0,50.0
95,38,4,3050.81,3,1,3,313,c) good,f) first time buyer,61.0,70.0
96,70,3,1135.25,2,1,1,211,a) poor,i) On the brink of losing customer,53.0,60.0
97,102,8,4911.21,1,4,4,144,a) poor,i) On the brink of losing customer,42.0,50.0
98,122,5,1930.56,1,2,2,122,a) poor,j)Evasive Customer ,66.0,70.0
99,2,9,4557.65,4,4,4,444,d) excellent,a) most loyal customer,24.0,30.0
100,11,2,877.4,4,1,1,411,c) good,d) Recent customer,53.0,60.0
101,8,4,2589.89,4,1,2,412,d) excellent,d) Recent customer,46.0,50.0
102,42,7,2587.01,3,3,2,332,c) good,e) Potential customer,65.0,70.0
103,49,5,913.32,2,2,1,221,b) avarage,h) Could be lost,25.0,30.0
104,64,8,3550.2599999999998,2,4,3,243,b) avarage,g) losing customer,44.0,50.0
105,89,4,3475.04,1,1,3,113,a) poor,j)Evasive Customer ,20.0,20.0
106,1,3,2513.69,4,1,2,412,d) excellent,d) Recent customer,56.0,60.0
107,81,4,2343.9700000000003,2,1,2,212,b) avarage,h) Could be lost,32.0,40.0
108,10,3,2557.42,4,1,2,412,d) excellent,d) Recent customer,28.0,30.0
109,8,10,4430.660000000001,4,4,4,444,d) excellent,a) most loyal customer,43.0,50.0
110,14,7,2621.55,4,3,2,432,d) excellent,c) Becoming loyal,21.0,30.0
111,147,4,3014.53,1,1,3,113,a) poor,j)Evasive Customer ,28.0,30.0
112,47,6,5742.19,2,3,4,234,b) avarage,g) losing customer,46.0,50.0
113,175,5,2200.48,1,2,2,122,a) poor,j)Evasive Customer ,66.0,70.0
114,70,4,2195.26,2,1,2,212,b) avarage,h) Could be lost,36.0,40.0
115,14,8,3135.87,4,4,3,443,d) excellent,b) very loyal customer,40.0,40.0
116,12,8,2447.54,4,4,2,442,d) excellent,b) very loyal customer,23.0,30.0
117,5,10,6917.34,4,4,4,444,d) excellent,a) most loyal customer,40.0,40.0
118,69,5,3550.1,2,2,3,223,b) avarage,h) Could be lost,62.0,70.0
119,30,4,4217.24,3,1,4,314,c) good,f) first time buyer,41.0,50.0
120,129,3,1306.78,1,1,1,111,a) poor,k) Lost customer,44.0,50.0
121,111,4,2892.0899999999997,1,1,3,113,a) poor,j)Evasive Customer ,65.0,70.0
122,8,5,2695.2200000000003,4,2,2,422,d) excellent,c) Becoming loyal,43.0,50.0
123,191,4,3245.75,1,1,3,113,a) poor,j)Evasive Customer ,34.0,40.0
124,2,7,4054.2499999999995,4,3,3,433,d) excellent,b) very loyal customer,27.0,30.0
125,83,9,3303.88,2,4,3,243,b) avarage,g) losing customer,62.0,70.0
126,11,3,1096.46,4,1,1,411,c) good,d) Recent customer,29.0,30.0
127,23,10,3993.7099999999996,3,4,3,343,c) good,e) Potential customer,48.0,50.0
128,137,4,2193.0600000000004,1,1,2,112,a) poor,j)Evasive Customer ,45.0,50.0
129,178,4,2753.7499999999995,1,1,2,112,a) poor,j)Evasive Customer ,37.0,40.0
130,76,2,1779.58,2,1,1,211,a) poor,i) On the brink of losing customer,25.0,30.0
131,205,6,5494.910000000001,1,3,4,134,a) poor,i) On the brink of losing customer,57.0,60.0
132,7,6,2780.7200000000003,4,3,2,432,d) excellent,c) Becoming loyal,59.0,60.0
133,26,5,803.89,3,2,1,321,c) good,f) first time buyer,45.0,50.0
134,14,6,2946.4199999999996,4,3,3,433,d) excellent,b) very loyal customer,25.0,30.0
135,115,6,3254.0699999999997,1,3,3,133,a) poor,i) On the brink of losing customer,47.0,50.0
136,20,8,3543.2,3,4,3,343,c) good,e) Potential customer,49.0,50.0
137,27,5,1496.4499999999998,3,2,1,321,c) good,f) first time buyer,34.0,40.0
138,64,7,3377.12,2,3,3,233,b) avarage,g) losing customer,37.0,40.0
139,26,9,5161.44,3,4,4,344,c) good,d) Recent customer,57.0,60.0
140,3,6,2699.9,4,3,2,432,d) excellent,c) Becoming loyal,28.0,30.0
141,159,3,2138.35,1,1,2,112,a) poor,j)Evasive Customer ,68.0,70.0
142,4,11,3917.34,4,4,3,443,d) excellent,b) very loyal customer,55.0,60.0
143,13,4,2474.7700000000004,4,1,2,412,d) excellent,d) Recent customer,65.0,70.0
